sent_id_1,sent_id_2,text_1,text_2,score
10718,20736,perdagangan forex yang merupakan salah satu lahan investasi jangka pendek yang sangat menguntungkan.,"contoh aset lancar adalah surat berharga seperti saham, obligasi.",1.8
15213,17203,hal-hal tersebutlah yang membuat proses pendataan ataupun pemberian suatu informasi dapat menjadi terlambat atau bahkan dapat terjadinya kesalahan dalam pemberian informasi.,"contohnya saat ingin mencari informasi tentang “mandau”, maka hasil yang ditemui banyak yang tidak sesuai keinginan pengguna, karena kurangnya detail informasi mengenai mandau.",3.8
11880,3920,aplikasi diharapakan dapat mencatat lokasi kendaraan user parkir dan menunjukkan kembali lokasi kendaraan ketika user ingin kembali ke kendaraannya.,beberapa informasi ini nantinya akan dicek oleh petugas parkir yang bertugas di pintu keluar area parkir sebagai alat verifikasi serta penghitungan biaya parkir.,2.2
5314,21932,"dalam pemilu tersebut, universitas kristen duta wacana berperan serta sebagai pemantau.",universitas kristen duta wacana yang memiliki 6 fakultas juga memiliki fasilitas untuk menunjang sarana dan prasarana.,2.0
17243,9933,tujuan dalam penelitian ini yaitu untuk membuat aplikasi yang berisikan informasi mengenai museum di indonesia serta menentukan desain antarmuka yang tepat untuk semua kalangan terutama remaja hingga lansia.,"peneliti akan menggunakan metode user centered design dalam perancangan antarmuka aplikasi forum masyarakat yogyakarta sebagai bahan penelitian, di mana desain yang akan dibuat berfokus kepada pengguna.",4.0
15561,22522,"informasi tersebut masih mengalamin banyak permasalahan antara lain jangkauan informasi yang tidak menyeluruh, dalam menyampaikan informasi terbatas, proses mendapatkan informasi baru membutuhkan waktu lama dan belum efisien saat diterima oleh seluruh jemaat.","hal ini sangat tidak efektif karena informasi yang diberikan tidak sepenuhnya bisa dipahami, mungkin karena keterbatasan waktu sehingga membuat informasi yang disampaikan dibuat sesingkat mungkin.",4.3
14488,14047,bingung cara memilih jadwal dokter.,"3.kegiatan konsultasi yang sulit diadakan dikarenakan masih menggunakan sistem yang manual, contohnya jika ingin melihat jadwal kegiatan dosen yang harus dilihat dipintu masuk ruangan dosen.",3.2
1281,2029,"namun, perkembangan captcha sangat pesat dan beragam.",bagaimana membangun sistem untuk menentukan cabai rawit matang berdasarkan metode region growing?,0.2
12281,22195,bagaimana mengukur kemudahan informasi yang akan di visualisasikan supaya dapat dipahami masyarakat luas.,"(wrexler dkk., 2017) menyebutkan visualisasi data dilakukan untuk memanfaatkan kekuatan luar biasa dari sistem visual kita untuk mempermudah melihat suatu hubungan dan tren dari suatu data.",4.7
11445,23238,"dari masalah diatas dapat ditarik permasalahan dasar yang dihadapi pada penelitian ini, yaitu penerimaan pengguna terhadap layanan google apps berdasarkan hubungan kausal diantara konstruk-konstruk dalam tam seperti perceived ease of use, perceived usefulness, attitude toward using, dan behavioral intention to use.","berdasarkan rumusan masalah yang sudah dijelaskan diatas, maka dapat dikatakan tujuan penelitian ini adalah untuk menilai efektifitas dan kemudahan pengguna pada aplikasi duta navigasi berdasarkan hasil analisis dari user satisfaction.",4.2
22416,23422,"sebagai bagian dari misi tersebut, fti ukdw memiliki tanggung jawab untuk memberikan dukungan administratif yang efisien dan efektif kepada staf pengajar, terutama dalam hal manajemen beban tugas dosen.",konsultasi memiliki peran yang sangat signifikan dalam konteks pendidikan tinggi.,1.5
10880,12786,dengan banyaknya jumlah kecelakaan lalu lintas tersebut membuat pihak-pihak yang bersangkutan seperti rumah sakit atau orang-orang terdekat harus bergerak cepat untuk menangani kasus kecelakaan tersebut.,"dengan demikian, petugas dapat dengan cepat menganggulagi situasi darurat yang dihadapi.",4.0
1880,17057,"berdasarkan pada (katili, 2013) yang membuktikan bahwa bayesian network mampu dengan baik mengidentifikasi penyakit hanya dengan gejala seminimal mungkin.",lapisan dari konvolusi jaringan ini dapat meminimalisir kesalahan dalam klasifikasi untuk mendapatkan prediksi terbaik.,3.5
10724,302,setiap manusia memliki emosi yang bisa berubah dengan cepat dan dapat mempengaruhi strategi dalam pengambilan keputusan.,"dengan mengetahui kondisi emosi dari pengunggah status, dapat diberikan umpan balik yang sesuai sehingga berguna bagi pemilik akun tersebut.",2.5
19287,4477,"melihat permasalahan diatas, penulis tertarik untuk membuat sebuah website pendukung terhadap orang tua dan siswa untuk dapat membantu memonitoring informasi akademik maupun administrasi tanpa perlu repot untuk mendatangi sekolah dan dapat dicek dimana saja dan kapan saja.","website ukdw ini menjadi sarana yang umum digunakan oleh mahasiswa dan mahasiswinya, karena lewat website ini mahasiswa dan mahasiswi dapat memperoleh informasi terbaru tentang perkembangan ukdw, selain itu mahasiswa dan mahasiswi dapat melakukan berbagai macam kegiatan seperti men-download materi pelajaran, melihat nilai di mata kuliah yang diikuti, tanya jawab secara online, dll. melihat website ukdw yang semakin hari makin sering diakses, maka sangat penting untuk melakukan evaluasi terhadap website ukdw supaya dapat diketahui kegunaan(usability) bagi para penggunanya.",3.8
15326,19992,bagaimana arsitektur layanan mikro dapat membantu proses pengiriman dan pengamanan data pada aplikasi berbasis realita tertambah?,dalam penerapan arsitektur microservices terdapat beberapa kendala yang terbentuk dari dekomposisi servis seperti komunikasi antar servis yang lebih kompleks.,4.2
12243,18268,"karena konsep big data yang terbilang masih baru dan masih jarang di explore, maka dengan penelitian ini penulis bertujuan untuk menganalisis faktor – faktor yang dapat mempengaruhi optimasi kerja dari big data dari segi running time.",hal ini menyebabkan dibutuhkannya dataset yang banyak untuk penelitian ini.,2.8
593,2006,'implementasi kea++ dalam keyphrase extraction pada klasifikasi dokumen bahasa indonesia',pengenalan tulisan yang dijadikan obyek dalam penilitian ini adalah aksara jawa.aksara jawa adalah salah satu aksara tradisional nusantara yang digunakan untuk menulis bahasa jawa dan sejumlah bahasa daerah indonesia lainnya seperti bahasa sunda dan bahasa sasak.,1.0
20634,13750,"ketika dilakukan pengujian terhadap 3 orang mahasiswa ukdw dan 3 orang masyarakat kalimantan utara untuk mencoba menggunakan website ini, ditemukan beberapa masalah yang sama seperti, pengguna sering diarahkan ke halaman yang tidak diinginkan atau yang berbeda dengan pilihan pengguna.","oleh sebab itu, pengujian usabilitas diperlukan untuk mengetahui bagian dari situs yang menyulitkan pengguna dalam bernavigasi dan menggunakan situs.",4.8
23733,5297,hasil akhir dari penelitian ini akan berupa website yang diharapkan dapat meningkatkan jumlah pemesanan jasa videografi tmless studio.,hasil dari usabililty ini akan menghasilkan sebuah peniliaian terhadap website yang nantinya akan digunakan sebagai acuan dalam proses pendesainan.,3.2
18952,6952,setiap pembuat memiliki data nilai matakuliah.,dengan data yang didapatkan lalu membuat prototipe dan pengembangan berdasarkan hasil evaluasi usability yang telah dilakukan.,1.0
16990,11321,pemanfaatan yang tepat dan akurat menjadi poin penting yang harus dilakukan.,"kebutuhan terhadap informasi secara cepat, tepat dan akurat sangat diperlukan sebagai bahan pengambilan keputusan.",4.0
22807,21164,oleh karena itu peneliti mengangkat proposal skripsi dengan judul “pembangunan aplikasi kalistenik asisten untuk mendukung kebugaran jasmani mahasiswa berbasis android”.,"dalam penelitian ini, penulis akan merancang aplikasi berbasis website untuk kegiatan perwalian mahasiswa program studi informatika ukdw.",2.0
7799,3244,berkas yang sering dijumpai adalah citra digital.,terutama di bidang dunia digital.,3.5
20201,15814,dashboard yang akan dibuat ini akan berperan penting dan berfungsi dalam meningkatkan sistem kerja di dinas dp3amd.,sehingga dashboard yang dibuat dapat memenuhi kebutuhan pengguna.,3.5
4290,9786,"tujuan dari penelitian ini adalah untuk mengukur tingkat usability dari situs-situs jual beli online (www.tokopedia.com, www.bukalapak.com, www.lazada.co.id).","rumusan masalah pada penelitian ini adalah bagaimana mengukur tingkat efektifitas, efisiensi dan kepuasan pengguna terhadap website antarmuka e-ticketing?",2.5
15438,18090,"proses yang dilakukan agar dapat menghasilkan topik adalah dengan menggunakan wikipedia bahasa inggris sebagai corpora, setelah dipraproses, dihasilkan 2-5 n-gram lalu dihitung ko-okurensi dari n-gram tersebut menggunakan pointwise mutual information (pmi).","berdasarkan latar belakang yang sudah dijelaskan diatas, penelitian ini akan mengembangkan sistem peringkasan otomatis terhadap kategori artikel objek budaya ukdw yang berjudul “text summarization untuk artikel bahasa indonesia pada korpus objek budaya dengan metode lexrank”",1.5
15521,11430,berbagai permasalahan muncul dikarenakan perusahaan tidak sempat merancang data warehouse sebagai dasar pembangunan dashboard untuk analisis.,berdasarkan pada latar belakang dan rumusan masalah yang dibahas di atas maka tujuan penelitian ini yaitu membangun sebuah dashboardyang memanfaatkan data warehouseuntuk mempresentasikan kpi prodi informatika ukdw.,4.5
11213,23759,"hasil dari aplikasi ini adalah data nama dari pemilik dari sidik jari tersebut atau apabila data dari pemilik tersebut tidak dapat ditemukan di basis data yang dimiliki, maka aplikasi akan menunjukkan peringatan bahwa sidik jari tidak cocok dengan data yang terdapat di basis data.","salah satu metode yang dapat digunakan adalah menggunakan sidik jari dari pelaku, telah banyak dilakukan penelitian yang mengaitkan tentang bagaimana karakteristik sidik jari merupakan faktor yang penting, karena sidik jari meliputi tentang arah kecerdasan, kepribadian, gaya belajar, potensi, dan lain sebagainya (setiawan & agung, 2016).",2.0
11287,18395,penggunaan daur ulang teks pada jurnal dan artikel ilmiah tidak dapat dihindari.,tahapan tersebut adalah penulis telah melakukan pengembangan terhadap cara penomoran surat dilakukan secara online sehingga tidak ada kekhawatiran apa bila buku jurnal tersebut hilang atau rusak.,0.5
10250,8632,dan hal tersebutlah yang menjadi landasan bagi kemajuan pengembangan telekomunikasi wireless.,hal ini didorong oleh pesatnya perkembangan perangkat portable dan nirkabel serta aplikasi mobile yang mendukungnya.,4.2
