sent_id_1,sent_id_2,text_1,text_2,score
9530,23179,untuk mencapai tujuan tersebut digunakan metode user centered design (ucd) yang dinilai cocok untuk studi kasus ssat yang digunakan oleh mahasiswa.,"berdasarkan latar belakang yang diuraikan diatas, maka perlu dibangun sebuah aplikasi untuk melakukan monitoring untuk menggerakkan kursi roda cerdas tersebut.",1.2
12854,16594,bagaimana memotivasi pengguna untuk lebih memperhatikan kesehatan melalui monitoring jumlah kalori terhadap makanan dan minuman yang hendak dikonsumsi sebagai upaya pencegahan penyakit diabetes mellitus?,user interface yang ada di website krjogja.com terbilang masih sangat sederhana.,0.1
14811,15904,sakramentali adalah upacara atau kegiatan ibadat yang bersumber dari dan mengarah pada sakramen-sakramen.,"dengan mempertimbangkan latar belakang masalah yang ada, maka rumusan masalah dapat dirumuskan sebagai berikut : pengembangan apa saja yang bisa ditambahkan pada sistem ews di e-commerce melalui media aplikasi slack?",0.0
14663,451,tugas akhir atau skripsi merupakan tugas yang wajib dikerjakan dan merupakan tahap akhir yang harus ditempuh oleh mahasiswa dalam menyelesaikan perkuliahannya.,"penelitian ini bertujuan untuk menguji keefektifan algoritma fuzzy c-means dalam melakukan proses clustering, dan mengimplementasikan ke dalam sistem rekomendasi buku berbasis konten berbahasa inggris dengan studi kasus di perpustakaan universitas kristen duta wacana.",1.8
5825,10241,oleh karena itu untuk menunjang mutu sumber daya manusia dibutuhkan teknologi canggih dalam memudahkan komunikasi dan mempercepat sampainya suatu informasi dalam menyelesaikan suatu pekerjaan.,bagaimana menampilkan relasi antar rempah dan masakan nusantara dengan baik melalui visualisasi infografis?,0.5
7942,22311,buah stroberi yang sudah matang dapat dipetik dan langsung bisa dikonsumsi atau bisa diolah lagi untuk menjadi selai.,tim posyandu juga memiliki kendala waktu dalam melakukan pemantauan dan pencatatan terhadap perkembangan gizi balita karena banyaknya buku yang harus dicari oleh tim posyandu secara satu per satu.,0.0
6203,13772,"tidak seimbangnya antara jalur backbone dengan traffic, dan setting pada device, dan interferensi dari mesin-mesin produksi yang memancarkan gelombang elektromagnetik, serta pointing device merupakan beberapa kemungkinan terjadinya kegagalan koneksi antar blok.","salah satu metode yang berkaitan dengan sebuah teks adalah metode vector space model (vsm) di mana menurut (cheng, 2012), vector space model merupakan model aljabar yang merepresentasikan dokumen teks sebagai vector yang telah diberikan bobot, dan hubungan relevansi antar dokumen, seperti query dan dokumen yang cocok dimana dihitung sebagai kemiripan 2 vector.",0.8
12282,22423,tujuan dari penelitian ini adalah untuk membangun visualisasi keris jawa dan memberi informasi kepada masyarakat tentang warisan budaya keris jawa.,sistem ini diharapkan dapat melakukan analisis terhadap data yang sudah diinput sehingga informasi yang tersedia lebih lengkap dan terstruktur.,2.2
11054,17821,"semantic web mencakup dokumen atau bagian dari dokumen, menggambarkan hubungan eksplisit antara setiap hal dan berisi informasi.","dari latar belakang diatas, maka didapatkan rumusan masalah yaitu bagaimana tingkat kebutuhan pengguna terhadap website gkj gondangwinangun dengan menggunakan metode user centered design.",0.3
3984,12795,proses authentikasi pada layanan internet banking adalah contoh penggunaan tfa.,perusahaan biasanya memanfaatkan jasa petugas keamanan seperti satpam untuk mengantisipasi adanya gangguan di tempat kerja.,0.2
657,17335,"adanya keterbatasan dalam media penyimpanan, menuntut para pengguna komputer untuk menemukan sebuah cara yang dapat digunakan untuk memperkecil ukuran data.",ucd adalah metode yang digunakan untuk memastikan sebuah website akan mudah dipelajari dan digunakan oleh pengguna.,1.5
24270,2894,"kemudian untuk pra-lansia dan lansia membutuhkan tampilan aplikasi yang lebih interaktif untuk mudah dilihat, penelitian ini hanya berfokus pada penyakit ringan seperti batuk, pilek, lambung, diare, mual, dan muntah, karena tidak memerlukan campur tangan medis langsung dari ahli kesehatan, berdasarkan permasalahan yang telah dirumuskan, maka fokus dalam penelitian ini akan dibagi ke dalam: meningkatkan kepuasan pelanggan apotek primedika dengan melakukan optimalisasi pelayanan menggunakan aplikasi swamedikasi, mengembangkan sebuah aplikasi berbasis mobile yang akan diterapkan pada perangkat keras berupa tablet untuk membantu meningkatkan pelayanan di apotek primedika","pada penelitian ini, yang menjadi fokus permasalah pada proyek tugas akhir ini meliputi : seberapa besar prosentase tingkat keberhasilan program mengenali gambar motif truntum dengan akurat berdasarkan hasil perhitungan matrix, kemiripan data sample dengan data induk menggunakan shape matrix simillarity.",1.0
14334,20245,munculnya aplikasi chatting untuk bertukar pesan telah menciptakan cara baru manusia dalam berkomunikasi.,"penilaian dilakukan ketika salah satu peserta melakukan serangan dengan menggunakan tendangan mengenai body protector atau melakukan serangan dengan menggunakan pukulan mengenai body protector dan helmet protector akan mendapatkan 1 wazari dengan poin 5. jika salah satu peserta sudah mendapatkan 2 wazari, maka pertandingan telah selesai.",0.0
11411,8196,perkuliahan merupakan salah satu kegiatan utama dalam pendidikan tinggi.,'penerapan algoritma gray level co-occurrence matrix dan template matching untuk pengenalan pola rambu - rambu larangan lalu lintas',0.0
16370,17454,tujuan penelitian ini adalah untuk menghasilkan website yang nyaman dan friendly sebagai wadah informasi terhadap alat musik tradisional batak sehingga menambah pengetahuan pengunjung terhadap alat musik tradisional batak.,"alasan penulis melalukan evaluasi dengan metode usability testing ini adalah dalam pengembangan situs, belum dilakukan testing kepada mahasiswa tentang situs eprintsukdw yang diharapkan dapat memberi rekomendasirekomendasi terhadap antarmuka sistus agar lebih usable.",4.5
8498,16073,"pemanfaatan website dalam dunia akademik ini telah digunakan oleh semua institusi pendidikan di indonesia, termasuk pada universitas kristen duta wacana.","pada era globalisasi seperti sekarang ini, teknologi informasi di kembangkan sesuai dengan kebutuhan manusia, agar dapat membantu serta memudahkan manusia dalam melakukan aktifitasnya.",3.0
24505,2808,"selain memberikan solusi praktis bagi paroki santa maria asumpta klaten, penelitian ini diharapkan dapat menjadi landasan konseptual bagi paroki-paroki lain yang ingin mengadopsi inovasi serupa.",penelitian ini tidak hanya sebatas melakukan identifikasi terhadap mahkota bunga.,0.5
1826,5843,apakah metode haar wavelet transform dapat membaca plat nomor pada kendaraan bermotor secara tepat?,"bagaimana membangun jaringan intranet atau private yang mempunyai dukungan pengguna dapat dengan mudah mengakses, mengubah, dan berbagi lebih banyak informasi?",2.0
12965,7117,pada umumnya garis koordinasi dari paroki bisa langsung ke keuskupan.,hal ini akan menimbulkan masalah yang dapat berakibat fatal bagi toko itu sendiri.,0.0
